2026-05-22 12:59:33,605 [INFO] root: === Application Starting ===
2026-05-22 12:59:34,845 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\spyder\\envs\\spyder-runtime\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-22 12:59:34,845 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\spyder\\envs\\spyder-runtime\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
2026-05-22 12:59:34,846 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\spyder\\envs\\spyder-runtime\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2026-05-22 12:59:34,846 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\spyder\\envs\\spyder-runtime\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-22 12:59:34,846 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\spyder\\envs\\spyder-runtime\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2026-05-22 12:59:34,846 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\spyder\\envs\\spyder-runtime\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2026-05-22 12:59:34,846 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\spyder\\envs\\spyder-runtime\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-05-22 12:59:34,846 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\spyder\\envs\\spyder-runtime\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-05-22 12:59:34,846 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\spyder\\envs\\spyder-runtime\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-22 12:59:34,846 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\spyder\\envs\\spyder-runtime\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-22 12:59:34,846 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\spyder\\envs\\spyder-runtime\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-22 12:59:34,846 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\spyder\\envs\\spyder-runtime\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-05-22 12:59:34,846 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\spyder\\envs\\spyder-runtime\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-22 12:59:34,846 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\spyder\\envs\\spyder-runtime\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-05-22 12:59:34,846 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\spyder\\envs\\spyder-runtime\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-05-22 12:59:34,846 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\spyder\\envs\\spyder-runtime\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-22 12:59:34,846 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\spyder\\envs\\spyder-runtime\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-22 12:59:34,846 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\spyder\\envs\\spyder-runtime\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
